index,entry_date,day_of_week,expiry_date,atm_strike,chosen_strike,strike_offset,qty,ce_entry_open,pe_entry_open,sl_pct,ce_exit_ts,ce_exit_price,ce_exit_reason,ce_points_pnl,ce_gross_pnl,pe_exit_ts,pe_exit_price,pe_exit_reason,pe_points_pnl,pe_gross_pnl,gross_pnl,net_pnl
NIFTY,2026-04-07,Tuesday,2026-04-28,22750,22750,0,325,657.95,546.70,100%,2026-04-07T15:20:00+05:30,818.00,day_close,-161.05,-52341.25,2026-04-07T15:20:00+05:30,407.20,day_close,138.50,45012.50,-7328.75,-7428.75
NIFTY,2026-04-10,Friday,2026-04-28,23950,23950,0,325,418.80,355.90,20%,2026-04-10T15:20:00+05:30,463.65,day_close,-45.85,-14901.25,2026-04-10T15:20:00+05:30,310.85,day_close,44.05,14316.25,-585.00,-685.00
NIFTY,2026-04-10,Friday,2026-04-28,23950,23950,0,325,418.80,355.90,30%,2026-04-10T15:20:00+05:30,463.65,day_close,-45.85,-14901.25,2026-04-10T15:20:00+05:30,310.85,day_close,44.05,14316.25,-585.00,-685.00
NIFTY,2026-04-10,Friday,2026-04-28,23950,23950,0,325,418.80,355.90,40%,2026-04-10T15:20:00+05:30,463.65,day_close,-45.85,-14901.25,2026-04-10T15:20:00+05:30,310.85,day_close,44.05,14316.25,-585.00,-685.00
NIFTY,2026-04-10,Friday,2026-04-28,23950,23950,0,325,418.80,355.90,50%,2026-04-10T15:20:00+05:30,463.65,day_close,-45.85,-14901.25,2026-04-10T15:20:00+05:30,310.85,day_close,44.05,14316.25,-585.00,-685.00
NIFTY,2026-04-10,Friday,2026-04-28,23950,23950,0,325,418.80,355.90,60%,2026-04-10T15:20:00+05:30,463.65,day_close,-45.85,-14901.25,2026-04-10T15:20:00+05:30,310.85,day_close,44.05,14316.25,-585.00,-685.00
NIFTY,2026-04-10,Friday,2026-04-28,23950,23950,0,325,418.80,355.90,70%,2026-04-10T15:20:00+05:30,463.65,day_close,-45.85,-14901.25,2026-04-10T15:20:00+05:30,310.85,day_close,44.05,14316.25,-585.00,-685.00
NIFTY,2026-04-10,Friday,2026-04-28,23950,23950,0,325,418.80,355.90,80%,2026-04-10T15:20:00+05:30,463.65,day_close,-45.85,-14901.25,2026-04-10T15:20:00+05:30,310.85,day_close,44.05,14316.25,-585.00,-685.00
NIFTY,2026-04-10,Friday,2026-04-28,23950,23950,0,325,418.80,355.90,90%,2026-04-10T15:20:00+05:30,463.65,day_close,-45.85,-14901.25,2026-04-10T15:20:00+05:30,310.85,day_close,44.05,14316.25,-585.00,-685.00
NIFTY,2026-04-10,Friday,2026-04-28,23950,23950,0,325,418.80,355.90,100%,2026-04-10T15:20:00+05:30,463.65,day_close,-45.85,-14901.25,2026-04-10T15:20:00+05:30,310.85,day_close,44.05,14316.25,-585.00,-685.00
