offset,entry_date,day_of_week,status,skip_reason,expiry_date,spot_open,base_atm,centre_strike,centre_shift,ce_strike,pe_strike,lot_size,lots,qty,balance_ratio,ce_entry,ce_stop,ce_exit_ts,ce_exit_price,ce_exit_reason,pe_entry,pe_stop,pe_exit_ts,pe_exit_price,pe_exit_reason,margin,gross_pnl,brokerage,net_pnl,remarks
0,2026-03-17,Tuesday,TRADED,,2026-03-17,23393.20,23400,23400,0,23400,23400,65,5,325,0.81,73.20,146.40,2026-03-17T10:01:00+05:30,146.40,sl,90.05,180.10,2026-03-17T15:20:00+05:30,0.10,day_close,988650.00,4793.75,100.00,4693.75,
0,2026-03-24,Tuesday,TRADED,,2026-03-24,22789.80,22800,22800,0,22800,22800,65,5,325,0.91,110.10,220.20,2026-03-24T12:52:00+05:30,220.20,sl,120.90,241.80,2026-03-24T15:20:00+05:30,0.10,day_close,963300.00,2827.50,100.00,2727.50,
0,2026-04-28,Tuesday,TRADED,,2026-04-28,24094.75,24100,24100,0,24100,24100,65,5,325,0.77,51.70,103.40,2026-04-28T15:20:00+05:30,0.10,day_close,67.05,134.10,2026-04-28T13:35:00+05:30,134.10,sl,1018225.00,-5671.25,100.00,-5771.25,
0,2026-05-05,Tuesday,SKIPPED,no_priceable_pair,2026-05-05,24062.05,24050,,,,,65,5,325,,,,,,,,,,,,,,,,
0,2026-05-12,Tuesday,SKIPPED,no_priceable_pair,2026-05-12,23737.80,23750,,,,,65,5,325,,,,,,,,,,,,,,,,
0,2026-05-19,Tuesday,TRADED,,2026-05-19,23736.45,23750,23750,0,23750,23750,65,5,325,0.73,59.85,119.70,2026-05-19T15:20:00+05:30,0.05,day_close,81.85,163.70,2026-05-19T15:20:00+05:30,126.60,day_close,1003437.50,4241.25,100.00,4141.25,
0,2026-05-26,Tuesday,TRADED,,2026-05-26,24011.55,24000,24000,0,24000,24000,65,5,325,0.75,66.55,133.10,2026-05-26T15:20:00+05:30,0.10,day_close,49.70,99.40,2026-05-26T14:05:00+05:30,99.40,sl,1014000.00,4793.75,100.00,4693.75,
0,2026-06-02,Tuesday,TRADED,,2026-06-02,23285.65,23300,23300,0,23300,23300,65,5,325,0.85,56.70,113.40,2026-06-02T12:45:00+05:30,113.40,sl,66.80,133.60,2026-06-02T15:20:00+05:30,0.05,day_close,984425.00,2616.25,100.00,2516.25,
0,2026-06-09,Tuesday,SKIPPED,no_priceable_pair,2026-06-09,23233.30,23250,,,,,65,5,325,,,,,,,,,,,,,,,,
0,2026-06-16,Tuesday,TRADED,,2026-06-16,23932.80,23950,23950,0,23950,23950,65,5,325,0.71,45.05,90.10,2026-06-16T15:20:00+05:30,37.10,day_close,63.90,127.80,2026-06-16T15:20:00+05:30,0.10,day_close,1011887.50,22668.75,100.00,22568.75,
