offset,entry_date,day_of_week,status,skip_reason,expiry_date,spot_open,base_atm,centre_strike,centre_shift,ce_strike,pe_strike,lot_size,lots,qty,balance_ratio,ce_entry,ce_stop,ce_exit_ts,ce_exit_price,ce_exit_reason,pe_entry,pe_stop,pe_exit_ts,pe_exit_price,pe_exit_reason,margin,gross_pnl,brokerage,net_pnl,remarks
200,2022-06-09,Thursday,SKIPPED,balance_filter,2022-06-09,16285.00,16300,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-06-16,Thursday,SKIPPED,balance_filter,2022-06-16,15843.80,15850,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-06-23,Thursday,SKIPPED,balance_filter,2022-06-23,15469.50,15450,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-06-30,Thursday,SKIPPED,balance_filter,2022-06-30,15854.80,15850,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-07-07,Thursday,SKIPPED,balance_filter,2022-07-07,16114.20,16100,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-07-14,Thursday,TRADED,,2022-07-14,16025.70,16050,16000,-1,16200,15800,50,6,300,0.96,6.35,12.06,2022-07-14T15:20:00+05:30,0.05,day_close,6.60,12.54,2022-07-14T15:20:00+05:30,0.05,day_close,628200.00,3255.00,100.00,3155.00,
200,2022-07-21,Thursday,SKIPPED,balance_filter,2022-07-21,16512.60,16500,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-07-28,Thursday,SKIPPED,balance_filter,2022-07-28,16775.90,16800,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-08-04,Thursday,SKIPPED,balance_filter,2022-08-04,17464.60,17450,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-08-11,Thursday,TRADED,,2022-08-11,17690.00,17700,17650,-1,17850,17450,50,6,300,0.96,5.15,9.79,2022-08-11T15:20:00+05:30,0.05,day_close,4.95,9.40,2022-08-11T11:28:00+05:30,9.40,sl,692550.00,-406.50,100.00,-506.50,
200,2022-08-18,Thursday,SKIPPED,balance_filter,2022-08-18,17915.30,17900,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-08-25,Thursday,SKIPPED,balance_filter,2022-08-25,17672.10,17650,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-09-01,Thursday,SKIPPED,balance_filter,2022-09-01,17553.80,17550,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-09-08,Thursday,SKIPPED,balance_filter,2022-09-08,17733.80,17750,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-09-15,Thursday,SKIPPED,balance_filter,2022-09-15,18083.80,18100,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-09-22,Thursday,TRADED,,2022-09-22,17626.60,17650,17600,-1,17800,17400,50,6,300,0.87,18.45,35.05,2022-09-22T15:20:00+05:30,0.10,day_close,16.10,30.59,2022-09-22T15:20:00+05:30,0.05,day_close,690600.00,9720.00,100.00,9620.00,
200,2022-09-29,Thursday,TRADED,,2022-09-29,17005.90,17000,17000,0,17200,16800,50,6,300,0.88,6.00,11.40,2022-09-29T15:20:00+05:30,0.05,day_close,6.80,12.92,2022-09-29T09:31:00+05:30,12.92,sl,667200.00,-651.00,100.00,-751.00,
200,2022-10-06,Thursday,TRADED,,2022-10-06,17374.50,17350,17350,0,17550,17150,50,6,300,0.90,5.95,11.30,2022-10-06T15:20:00+05:30,0.05,day_close,6.60,12.54,2022-10-06T15:20:00+05:30,0.05,day_close,680850.00,3135.00,100.00,3035.00,
200,2022-10-13,Thursday,TRADED,,2022-10-13,17086.00,17100,17050,-1,17250,16850,50,6,300,0.90,6.70,12.73,2022-10-13T15:20:00+05:30,0.05,day_close,6.00,11.40,2022-10-13T15:20:00+05:30,0.05,day_close,669150.00,3180.00,100.00,3080.00,
200,2022-10-20,Thursday,TRADED,,2022-10-20,17450.00,17450,17400,-1,17600,17200,50,6,300,0.90,3.35,6.37,2022-10-20T10:43:00+05:30,6.37,sl,3.00,5.70,2022-10-20T15:20:00+05:30,0.10,day_close,682800.00,-634.50,100.00,-734.50,
200,2022-10-27,Thursday,TRADED,,2022-10-27,17756.10,17750,17750,0,17950,17550,50,6,300,0.98,2.50,4.75,2022-10-27T15:20:00+05:30,0.05,day_close,2.55,4.84,2022-10-27T15:20:00+05:30,0.05,day_close,696450.00,885.00,100.00,785.00,
200,2022-11-03,Thursday,SKIPPED,balance_filter,2022-11-03,18021.80,18000,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-11-10,Thursday,SKIPPED,balance_filter,2022-11-10,18068.20,18050,,,,,50,6,300,,,,,,,,,,,,,,,,
