entry_date,status,skip_reason,expiry_date,trades,ce_trades,pe_trades,stopped_trades,day_close_trades,skipped_signals,orders_executed,gross_pnl,brokerage,net_pnl,max_consec_sl_in_day,sl_capped,remarks
2021-01-01,TRADED,,2021-01-07,2,1,1,2,0,0,4,4830.00,100.00,4730.00,2,True,
2021-01-04,TRADED,,2021-01-07,2,1,1,2,0,0,4,-12630.00,100.00,-12730.00,2,True,
2021-01-05,SKIPPED,random_skip,2021-01-07,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-01-06,TRADED,,2021-01-07,2,0,2,2,0,0,4,-1755.00,100.00,-1855.00,2,True,
2021-01-07,SKIPPED,random_skip,2021-01-07,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-01-08,SKIPPED,random_skip,2021-01-14,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-01-11,TRADED,,2021-01-14,1,0,1,0,1,0,2,8355.00,50.00,8305.00,0,False,
2021-01-12,TRADED,,2021-01-14,1,0,1,0,1,0,2,16200.00,50.00,16150.00,0,False,
2021-01-13,SKIPPED,random_skip,2021-01-14,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-01-14,TRADED,,2021-01-14,2,1,1,1,1,0,4,15690.00,100.00,15590.00,1,False,
2021-01-15,TRADED,,2021-01-21,2,1,1,1,1,0,4,1245.00,100.00,1145.00,1,False,
2021-01-18,TRADED,,2021-01-21,2,1,1,2,0,0,4,10620.00,100.00,10520.00,2,True,
2021-01-19,SKIPPED,random_skip,2021-01-21,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-01-20,TRADED,,2021-01-21,1,0,1,0,1,0,2,15075.00,50.00,15025.00,0,False,
2021-01-21,SKIPPED,random_skip,2021-01-21,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-01-22,TRADED,,2021-01-28,1,1,0,0,1,0,2,23115.00,50.00,23065.00,0,False,
2021-01-25,TRADED,,2021-01-28,2,1,1,2,0,0,4,13515.00,100.00,13415.00,2,True,
2021-01-27,SKIPPED,random_skip,2021-01-28,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-01-28,SKIPPED,random_skip,2021-01-28,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-01-29,SKIPPED,random_skip,2021-02-04,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-02-01,SKIPPED,random_skip,2021-02-04,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-02-02,SKIPPED,random_skip,2021-02-04,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-02-03,TRADED,,2021-02-04,2,0,2,2,0,0,4,17940.00,100.00,17840.00,2,True,
2021-02-04,SKIPPED,random_skip,2021-02-04,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-02-05,TRADED,,2021-02-11,2,0,2,2,0,0,4,-18360.00,100.00,-18460.00,2,True,
2021-02-08,TRADED,,2021-02-11,2,1,1,1,1,0,4,7860.00,100.00,7760.00,1,False,
2021-02-09,SKIPPED,random_skip,2021-02-11,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-02-10,SKIPPED,random_skip,2021-02-11,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-02-11,TRADED,,2021-02-11,2,0,2,1,1,0,4,20610.00,100.00,20510.00,1,False,
