entry_date,status,skip_reason,expiry_date,lot_size,lots,qty,signal_timestamp,signal_close,spot_sma_25,spot_signal_relation,entry_timestamp,atm_strike,sold_side,contract_name,option_entry_open,exit_timestamp,option_exit_open,exit_reason,exit_spot_ma,gross_pnl,brokerage,net_pnl,remarks
2024-05-21,TRADED,,2024-05-23,25,12,300,2024-05-21T10:15:00+05:30,22479.5,22480.47,BELOW_SMA,2024-05-21T10:30:00+05:30,22500,CE,NIFTY_22500_CE_23_MAY_24.csv,103.7,2024-05-21T10:55:00+05:30,99.45,stop_loss_ma_touch,22479.70,675.00,50.00,625.00,
2024-05-21,TRADED,,2024-05-23,25,12,300,2024-05-21T10:45:00+05:30,22477.95,22479.84,BELOW_SMA,2024-05-21T11:00:00+05:30,22500,CE,NIFTY_22500_CE_23_MAY_24.csv,103.0,2024-05-21T11:05:00+05:30,113.2,stop_loss_ma_touch,22479.84,-3660.00,50.00,-3710.00,
2024-05-21,TRADED,,2024-05-23,25,12,300,2024-05-21T11:00:00+05:30,22503.85,22481.43,ABOVE_SMA,2024-05-21T11:15:00+05:30,22500,PE,NIFTY_22500_PE_23_MAY_24.csv,102.6,2024-05-21T14:55:00+05:30,79.05,stop_loss_ma_touch,22516.50,6465.00,50.00,6415.00,
2024-05-21,TRADED,,2024-05-23,25,12,300,2024-05-21T14:45:00+05:30,22516.25,22517.41,BELOW_SMA,2024-05-21T15:00:00+05:30,22500,CE,NIFTY_22500_CE_23_MAY_24.csv,118.85,2024-05-21T15:05:00+05:30,130.3,stop_loss_ma_touch,22517.41,-4035.00,50.00,-4085.00,
2024-05-22,TRADED,,2024-05-23,25,12,300,2024-05-22T13:45:00+05:30,22582.7,22549.40,ABOVE_SMA,2024-05-22T14:00:00+05:30,22600,PE,NIFTY_22600_PE_23_MAY_24.csv,80.0,2024-05-22T14:55:00+05:30,80.95,stop_loss_ma_touch,22554.02,-885.00,50.00,-935.00,
2024-05-22,TRADED,,2024-05-23,25,12,300,2024-05-22T14:45:00+05:30,22552.35,22555.46,BELOW_SMA,2024-05-22T15:00:00+05:30,22550,CE,NIFTY_22550_CE_23_MAY_24.csv,85.9,2024-05-22T15:05:00+05:30,95.0,stop_loss_ma_touch,22555.46,-3330.00,50.00,-3380.00,
2024-05-23,SKIPPED,random_skip,2024-05-23,0,0,0,,,,,2024-05-23T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2024-05-24,TRADED,,2024-05-30,25,12,300,2024-05-24T14:45:00+05:30,22972.95,22975.55,BELOW_SMA,2024-05-24T15:00:00+05:30,22950,CE,NIFTY_22950_CE_30_MAY_24.csv,192.9,2024-05-24T15:05:00+05:30,183.7,stop_loss_ma_touch,22975.55,2160.00,50.00,2110.00,
2024-05-27,SKIPPED,random_skip,2024-05-30,0,0,0,,,,,2024-05-27T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2024-05-28,TRADED,,2024-05-30,25,12,300,2024-05-28T09:45:00+05:30,22949.15,23018.79,BELOW_SMA,2024-05-28T10:00:00+05:30,22950,CE,NIFTY_22950_CE_30_MAY_24.csv,145.55,2024-05-28T15:15:00+05:30,106.55,day_close,22943.59,11100.00,50.00,11050.00,
2024-05-29,TRADED,,2024-05-30,25,12,300,2024-05-29T13:00:00+05:30,22764.8,22812.45,BELOW_SMA,2024-05-29T13:15:00+05:30,22750,CE,NIFTY_22750_CE_30_MAY_24.csv,119.8,2024-05-29T15:15:00+05:30,83.55,day_close,22755.67,10275.00,50.00,10225.00,
2024-05-30,SKIPPED,random_skip,2024-05-30,0,0,0,,,,,2024-05-30T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2024-05-31,TRADED,,2024-06-06,25,12,300,2024-05-31T10:15:00+05:30,22539.3,22549.49,BELOW_SMA,2024-05-31T10:30:00+05:30,22550,CE,NIFTY_22550_CE_06_JUN_24.csv,410.8,2024-05-31T10:45:00+05:30,407.1,stop_loss_ma_touch,22547.18,510.00,50.00,460.00,
2024-05-31,TRADED,,2024-06-06,25,12,300,2024-05-31T10:45:00+05:30,22507.6,22544.26,BELOW_SMA,2024-05-31T11:00:00+05:30,22500,CE,NIFTY_22500_CE_06_JUN_24.csv,425.8,2024-05-31T11:35:00+05:30,423.15,stop_loss_ma_touch,22541.27,195.00,50.00,145.00,
