range_label,moneyness,offset_points,entry_date,status,skip_reason,expiry_date,next_trading_day,spot_signal_timestamp,spot_signal_close,spot_sma_25,spot_signal_relation,atm_strike,target_strike,sold_side,contract_name,option_entry_timestamp,option_entry_open,option_exit_timestamp,option_exit_open,gross_pnl,brokerage,net_pnl,remarks
ITM_300,ITM,300,2025-09-29,TRADED,,2025-09-30,2025-09-30,2025-09-29T15:15:00+05:30,24677.55,24701.98,BELOW_SMA,24700,24400,CE,NIFTY_24400_CE_30_SEP_25.csv,2025-09-29T15:29:00+05:30,297.15,2025-09-30T09:16:00+05:30,320.0,-6461.00,50.00,-6511.00,
OTM_100,OTM,100,2025-09-30,TRADED,,2025-10-07,2025-10-01,2025-09-30T15:15:00+05:30,24633.6,24642.45,BELOW_SMA,24650,24750,CE,NIFTY_24750_CE_07_OCT_25.csv,2025-09-30T15:29:00+05:30,98.0,2025-10-01T09:16:00+05:30,84.45,3003.00,50.00,2953.00,
OTM_200,OTM,200,2025-09-30,TRADED,,2025-10-07,2025-10-01,2025-09-30T15:15:00+05:30,24633.6,24642.45,BELOW_SMA,24650,24850,CE,NIFTY_24850_CE_07_OCT_25.csv,2025-09-30T15:29:00+05:30,59.25,2025-10-01T09:16:00+05:30,50.5,1755.00,50.00,1705.00,
OTM_300,OTM,300,2025-09-30,TRADED,,2025-10-07,2025-10-01,2025-09-30T15:15:00+05:30,24633.6,24642.45,BELOW_SMA,24650,24950,CE,NIFTY_24950_CE_07_OCT_25.csv,2025-09-30T15:29:00+05:30,33.7,2025-10-01T09:16:00+05:30,28.4,858.00,50.00,808.00,
OTM_400,OTM,400,2025-09-30,TRADED,,2025-10-07,2025-10-01,2025-09-30T15:15:00+05:30,24633.6,24642.45,BELOW_SMA,24650,25050,CE,NIFTY_25050_CE_07_OCT_25.csv,2025-09-30T15:29:00+05:30,18.45,2025-10-01T09:16:00+05:30,15.75,182.00,50.00,132.00,
OTM_500,OTM,500,2025-09-30,TRADED,,2025-10-07,2025-10-01,2025-09-30T15:15:00+05:30,24633.6,24642.45,BELOW_SMA,24650,25150,CE,NIFTY_25150_CE_07_OCT_25.csv,2025-09-30T15:29:00+05:30,10.15,2025-10-01T09:16:00+05:30,9.15,-260.00,50.00,-310.00,
ITM_100,ITM,100,2025-09-30,TRADED,,2025-10-07,2025-10-01,2025-09-30T15:15:00+05:30,24633.6,24642.45,BELOW_SMA,24650,24550,CE,NIFTY_24550_CE_07_OCT_25.csv,2025-09-30T15:29:00+05:30,213.5,2025-10-01T09:16:00+05:30,191.6,5174.00,50.00,5124.00,
ITM_200,ITM,200,2025-09-30,TRADED,,2025-10-07,2025-10-01,2025-09-30T15:15:00+05:30,24633.6,24642.45,BELOW_SMA,24650,24450,CE,NIFTY_24450_CE_07_OCT_25.csv,2025-09-30T15:29:00+05:30,287.15,2025-10-01T09:16:00+05:30,262.0,6019.00,50.00,5969.00,
ITM_300,ITM,300,2025-09-30,TRADED,,2025-10-07,2025-10-01,2025-09-30T15:15:00+05:30,24633.6,24642.45,BELOW_SMA,24650,24350,CE,NIFTY_24350_CE_07_OCT_25.csv,2025-09-30T15:29:00+05:30,370.0,2025-10-01T09:16:00+05:30,344.65,6071.00,50.00,6021.00,
OTM_100,OTM,100,2025-10-01,TRADED,,2025-10-07,2025-10-03,2025-10-01T15:15:00+05:30,24853.4,24755.01,ABOVE_SMA,24850,24750,PE,NIFTY_24750_PE_07_OCT_25.csv,2025-10-01T15:29:00+05:30,47.85,2025-10-03T09:16:00+05:30,56.05,-2652.00,50.00,-2702.00,
OTM_200,OTM,200,2025-10-01,TRADED,,2025-10-07,2025-10-03,2025-10-01T15:15:00+05:30,24853.4,24755.01,ABOVE_SMA,24850,24650,PE,NIFTY_24650_PE_07_OCT_25.csv,2025-10-01T15:29:00+05:30,28.55,2025-10-03T09:16:00+05:30,31.8,-1365.00,50.00,-1415.00,
OTM_300,OTM,300,2025-10-01,TRADED,,2025-10-07,2025-10-03,2025-10-01T15:15:00+05:30,24853.4,24755.01,ABOVE_SMA,24850,24550,PE,NIFTY_24550_PE_07_OCT_25.csv,2025-10-01T15:29:00+05:30,17.15,2025-10-03T09:16:00+05:30,18.1,-767.00,50.00,-817.00,
OTM_400,OTM,400,2025-10-01,TRADED,,2025-10-07,2025-10-03,2025-10-01T15:15:00+05:30,24853.4,24755.01,ABOVE_SMA,24850,24450,PE,NIFTY_24450_PE_07_OCT_25.csv,2025-10-01T15:29:00+05:30,10.7,2025-10-03T09:16:00+05:30,10.7,-520.00,50.00,-570.00,
OTM_500,OTM,500,2025-10-01,TRADED,,2025-10-07,2025-10-03,2025-10-01T15:15:00+05:30,24853.4,24755.01,ABOVE_SMA,24850,24350,PE,NIFTY_24350_PE_07_OCT_25.csv,2025-10-01T15:29:00+05:30,7.25,2025-10-03T09:16:00+05:30,6.75,-390.00,50.00,-440.00,
ITM_100,ITM,100,2025-10-01,TRADED,,2025-10-07,2025-10-03,2025-10-01T15:15:00+05:30,24853.4,24755.01,ABOVE_SMA,24850,24950,PE,NIFTY_24950_PE_07_OCT_25.csv,2025-10-01T15:29:00+05:30,131.9,2025-10-03T09:16:00+05:30,157.55,-7189.00,50.00,-7239.00,
ITM_200,ITM,200,2025-10-01,TRADED,,2025-10-07,2025-10-03,2025-10-01T15:15:00+05:30,24853.4,24755.01,ABOVE_SMA,24850,25050,PE,NIFTY_25050_PE_07_OCT_25.csv,2025-10-01T15:29:00+05:30,201.35,2025-10-03T09:16:00+05:30,237.6,-9945.00,50.00,-9995.00,
ITM_300,ITM,300,2025-10-01,TRADED,,2025-10-07,2025-10-03,2025-10-01T15:15:00+05:30,24853.4,24755.01,ABOVE_SMA,24850,25150,PE,NIFTY_25150_PE_07_OCT_25.csv,2025-10-01T15:29:00+05:30,284.5,2025-10-03T09:16:00+05:30,328.5,-11960.00,50.00,-12010.00,
