entry_date,status,skip_reason,index,active_expiry,spot,atm_strike,ce_strike,ce_entry_price,ce_stop_price,ce_exit_price,ce_exit_timestamp,ce_exit_reason,ce_points_pnl,ce_gross_pnl,ce_net_pnl,ce_failure_reason,pe_strike,pe_entry_price,pe_stop_price,pe_exit_price,pe_exit_timestamp,pe_exit_reason,pe_points_pnl,pe_gross_pnl,pe_net_pnl,pe_failure_reason,lot_size,lots,total_qty,combined_entry_credit,gross_pnl,brokerage,net_pnl,remarks,cumulative_pnl
2024-12-13,TRADED,,SENSEX,2024-12-13,80900,80900,81500,72.75,145.50,145.50,2024-12-13T11:55:00+05:30,stop_loss,-74.75,-747.50,-797.50,,80300,80.15,160.30,160.30,2024-12-13T10:20:00+05:30,stop_loss,-82.15,-821.50,-871.50,,10,1,10,152.90,-1569.00,100.00,-1669.00,,-6710.05
2024-12-16,TRADED,,NIFTY,2024-12-19,24753.4,24750,24950,60.05,120.10,56.60,2024-12-16T15:20:00+05:30,day_close,1.45,108.75,58.75,,24550,94.1,188.20,101.60,2024-12-16T15:20:00+05:30,day_close,-9.50,-712.50,-762.50,,75,1,75,154.15,-603.75,100.00,-703.75,,-7413.80
2024-12-17,TRADED,,NIFTY,2024-12-19,24584.8,24600,24800,78.85,157.70,22.00,2024-12-17T15:20:00+05:30,day_close,54.85,4113.75,4063.75,,24400,79.85,159.70,159.70,2024-12-17T10:40:00+05:30,stop_loss,-81.85,-6138.75,-6188.75,,75,1,75,158.70,-2025.00,100.00,-2125.00,,-9538.80
2024-12-18,TRADED,,NIFTY,2024-12-19,24297.95,24300,24500,53.0,106.00,23.25,2024-12-18T15:20:00+05:30,day_close,27.75,2081.25,2031.25,,24100,45.6,91.20,38.15,2024-12-18T15:20:00+05:30,day_close,5.45,408.75,358.75,,75,1,75,98.60,2490.00,100.00,2390.00,,-7148.80
2024-12-19,TRADED,,NIFTY,2024-12-19,23877.15,23900,24100,22.15,44.30,0.10,2024-12-19T15:20:00+05:30,day_close,20.05,1503.75,1453.75,,23700,26.3,52.60,0.10,2024-12-19T15:20:00+05:30,day_close,24.20,1815.00,1765.00,,75,1,75,48.45,3318.75,100.00,3218.75,,-3930.05
2024-12-20,TRADED,,SENSEX,2024-12-20,79000,79000,79600,132.6,265.20,265.20,2024-12-20T09:39:00+05:30,stop_loss,-134.60,-1346.00,-1396.00,,78400,115.4,230.80,230.80,2024-12-20T09:49:00+05:30,stop_loss,-117.40,-1174.00,-1224.00,,10,1,10,248.00,-2520.00,100.00,-2620.00,,-6550.05
2024-12-23,TRADED,,NIFTY,2024-12-26,23738.2,23750,23950,68.55,137.10,39.00,2024-12-23T15:20:00+05:30,day_close,27.55,2066.25,2016.25,,23550,66.35,132.70,30.00,2024-12-23T15:20:00+05:30,day_close,34.35,2576.25,2526.25,,75,1,75,134.90,4642.50,100.00,4542.50,,-2007.55
2024-12-24,TRADED,,NIFTY,2024-12-26,23769.1,23750,23950,27.4,54.80,54.80,2024-12-24T10:18:00+05:30,stop_loss,-29.40,-2205.00,-2255.00,,23550,21.6,43.20,19.15,2024-12-24T15:20:00+05:30,day_close,0.45,33.75,-16.25,,75,1,75,49.00,-2171.25,100.00,-2271.25,,-4278.80
2024-12-26,TRADED,,NIFTY,2024-12-26,23775.8,23800,24000,11.6,23.20,0.05,2024-12-26T15:20:00+05:30,day_close,9.55,716.25,666.25,,23600,9.5,19.00,19.00,2024-12-26T10:07:00+05:30,stop_loss,-11.50,-862.50,-912.50,,75,1,75,21.10,-146.25,100.00,-246.25,,-4525.05
2024-12-27,TRADED,,SENSEX,2024-12-27,78800,78800,79400,66.34,132.68,0.10,2024-12-27T15:20:00+05:30,day_close,64.24,642.40,592.40,,78200,92.75,185.50,0.15,2024-12-27T15:20:00+05:30,day_close,90.60,906.00,856.00,,10,1,10,159.09,1548.40,100.00,1448.40,,-3076.65
