entry_date,status,skip_reason,expiry_date,next_trading_day,spot_entry_timestamp,spot_entry_open,atm_strike,ce_entry_timestamp,ce_entry_open,ce_exit_timestamp,ce_exit_open,pe_entry_timestamp,pe_entry_open,pe_exit_timestamp,pe_exit_open,gross_pnl,brokerage,net_pnl,adjustments,remarks
2025-03-21,TRADED,,2025-03-27,2025-03-24,2025-03-21T15:20:00+05:30,23347.3,23350,2025-03-21T15:20:00+05:30,140.6,2025-03-24T09:16:00+05:30,207.9,2025-03-21T15:20:00+05:30,117.6,2025-03-24T09:16:00+05:30,70.09,-19.79,100.00,-119.79,0,
2025-03-24,TRADED,,2025-03-27,2025-03-25,2025-03-24T15:20:00+05:30,23661.2,23650,2025-03-24T15:20:00+05:30,162.55,2025-03-25T09:16:00+05:30,211.9,2025-03-24T15:20:00+05:30,111.4,2025-03-25T09:16:00+05:30,84.75,-22.70,100.00,-122.70,0,
2025-03-25,TRADED,,2025-03-27,2025-03-26,2025-03-25T15:20:00+05:30,23669.3,23650,2025-03-25T15:20:00+05:30,147.65,2025-03-26T09:16:00+05:30,128.05,2025-03-25T15:20:00+05:30,75.59,2025-03-26T09:16:00+05:30,85.3,9.89,100.00,-90.11,0,
2025-03-26,TRADED,,2025-03-27,2025-03-27,2025-03-26T15:20:00+05:30,23479.4,23500,2025-03-26T15:20:00+05:30,87.9,2025-03-27T09:16:00+05:30,44.45,2025-03-26T15:20:00+05:30,72.15,2025-03-27T09:16:00+05:30,85.95,29.65,100.00,-70.35,0,
2025-03-27,TRADED,,2025-04-03,2025-03-28,2025-03-27T15:20:00+05:30,23588.0,23600,2025-03-27T15:20:00+05:30,199.1,2025-03-28T09:16:00+05:30,188.7,2025-03-27T15:20:00+05:30,124.6,2025-03-28T09:16:00+05:30,135.0,0.00,100.00,-100.00,0,
2025-03-28,TRADED,,2025-04-03,2025-04-01,2025-03-28T15:20:00+05:30,23497.4,23500,2025-03-28T15:20:00+05:30,127.9,2025-04-01T09:16:00+05:30,79.15,2025-03-28T15:20:00+05:30,107.3,2025-04-01T09:16:00+05:30,145.5,10.55,100.00,-89.45,0,
2025-04-01,TRADED,,2025-04-03,2025-04-02,2025-04-01T15:20:00+05:30,23171.65,23150,2025-04-01T15:20:00+05:30,140.4,2025-04-02T09:16:00+05:30,138.85,2025-04-01T15:20:00+05:30,74.4,2025-04-02T09:16:00+05:30,68.5,7.45,100.00,-92.55,0,
2025-04-02,TRADED,,2025-04-03,2025-04-03,2025-04-02T15:20:00+05:30,23328.6,23350,2025-04-02T15:20:00+05:30,55.3,2025-04-03T09:16:00+05:30,7.85,2025-04-02T15:20:00+05:30,99.25,2025-04-03T09:16:00+05:30,181.5,-34.80,100.00,-134.80,0,
2025-04-03,TRADED,,2025-04-09,2025-04-04,2025-04-03T15:20:00+05:30,23243.55,23250,2025-04-03T15:20:00+05:30,148.5,2025-04-04T09:16:00+05:30,99.05,2025-04-03T15:20:00+05:30,165.35,2025-04-04T09:16:00+05:30,244.9,-30.10,100.00,-130.10,0,
2025-04-04,TRADED,,2025-04-09,2025-04-07,2025-04-04T15:20:00+05:30,22902.65,22900,2025-04-04T15:20:00+05:30,112.8,2025-04-07T09:16:00+05:30,20.95,2025-04-04T15:20:00+05:30,128.69,2025-04-07T09:16:00+05:30,686.7,-466.16,100.00,-566.16,0,
2025-04-07,TRADED,,2025-04-09,2025-04-08,2025-04-07T15:20:00+05:30,22172.45,22150,2025-04-07T15:20:00+05:30,337.9,2025-04-08T09:16:00+05:30,494.7,2025-04-07T15:20:00+05:30,291.5,2025-04-08T09:16:00+05:30,81.3,53.40,100.00,-46.60,0,
2025-04-08,TRADED,,2025-04-09,2025-04-09,2025-04-08T15:20:00+05:30,22525.65,22550,2025-04-08T15:20:00+05:30,173.5,2025-04-09T09:16:00+05:30,78.65,2025-04-08T15:20:00+05:30,174.05,2025-04-09T09:16:00+05:30,233.8,35.10,100.00,-64.90,0,
2025-04-09,TRADED,,2025-04-17,2025-04-11,2025-04-09T15:20:00+05:30,22396.5,22400,2025-04-09T15:20:00+05:30,324.8,2025-04-11T09:16:00+05:30,502.0,2025-04-09T15:20:00+05:30,287.6,2025-04-11T09:16:00+05:30,113.45,-3.05,100.00,-103.05,0,
2025-04-11,TRADED,,2025-04-17,2025-04-15,2025-04-11T15:20:00+05:30,22818.15,22800,2025-04-11T15:20:00+05:30,277.55,2025-04-15T09:16:00+05:30,531.7,2025-04-11T15:20:00+05:30,231.9,2025-04-15T09:16:00+05:30,33.0,-55.25,100.00,-155.25,0,
2025-04-15,TRADED,,2025-04-17,2025-04-16,2025-04-15T15:20:00+05:30,23327.2,23350,2025-04-15T15:20:00+05:30,79.25,2025-04-16T09:16:00+05:30,34.9,2025-04-15T15:20:00+05:30,126.7,2025-04-16T09:16:00+05:30,125.55,45.50,100.00,-54.50,0,
2025-04-16,TRADED,,2025-04-17,2025-04-17,2025-04-16T15:20:00+05:30,23439.25,23450,2025-04-16T15:20:00+05:30,58.55,2025-04-17T09:16:00+05:30,20.8,2025-04-16T15:20:00+05:30,119.65,2025-04-17T09:16:00+05:30,109.3,48.10,100.00,-51.90,0,
2025-04-17,TRADED,,2025-04-24,2025-04-21,2025-04-17T15:20:00+05:30,23848.95,23850,2025-04-17T15:20:00+05:30,190.3,2025-04-21T09:16:00+05:30,226.9,2025-04-17T15:20:00+05:30,189.9,2025-04-21T09:16:00+05:30,114.6,38.70,100.00,-61.30,0,
2025-04-21,TRADED,,2025-04-24,2025-04-22,2025-04-21T15:20:00+05:30,24131.25,24150,2025-04-21T15:20:00+05:30,122.7,2025-04-22T09:16:00+05:30,98.4,2025-04-21T15:20:00+05:30,121.6,2025-04-22T09:16:00+05:30,115.95,29.95,100.00,-70.05,0,
