entry_date,status,skip_reason,expiry_date,trades,ce_trades,pe_trades,stopped_trades,day_close_trades,skipped_signals,orders_executed,gross_pnl,brokerage,net_pnl,max_consec_sl_in_day,remarks
2026-04-13,TRADED,,2026-04-28,3,1,2,2,1,0,6,-30062.50,150.00,-30212.50,2,
2026-04-15,TRADED,,2026-04-28,1,0,1,0,1,0,2,-7458.75,50.00,-7508.75,0,
2026-04-16,TRADED,,2026-04-28,4,2,2,4,0,0,8,-18070.00,200.00,-18270.00,4,
2026-04-17,SKIPPED,random_skip,2026-04-28,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2026-04-20,TRADED,,2026-04-28,7,2,5,7,0,0,14,-20800.00,350.00,-21150.00,7,
2026-04-21,SKIPPED,random_skip,2026-04-28,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2026-04-22,TRADED,,2026-04-28,3,2,1,2,1,0,6,-1202.50,150.00,-1352.50,2,
2026-04-23,SKIPPED,random_skip,2026-04-28,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2026-04-24,SKIPPED,random_skip,2026-04-28,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2026-04-27,TRADED,,2026-04-28,2,1,1,1,1,0,4,19142.50,100.00,19042.50,1,
2026-04-28,TRADED,,2026-04-28,2,1,1,1,1,0,4,5135.00,100.00,5035.00,1,
2026-04-29,TRADED,,2026-05-05,5,3,2,4,1,0,10,-6272.50,250.00,-6522.50,4,
2026-04-30,TRADED,,2026-05-05,2,1,1,1,1,0,4,-10270.00,100.00,-10370.00,1,
2026-05-04,SKIPPED,random_skip,2026-05-05,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
