entry_date,day_of_week,status,skip_reason,expiry_date,expiry_type,spot_entry_timestamp,spot_entry_open,atm_strike,quantity,ce_contract_file,ce_entry_open,ce_stop_price,ce_exit_timestamp,ce_exit_price,ce_exit_reason,ce_points_pnl,ce_gross_pnl,pe_contract_file,pe_entry_open,pe_stop_price,pe_exit_timestamp,pe_exit_price,pe_exit_reason,pe_points_pnl,pe_gross_pnl,gross_pnl,brokerage,net_pnl,remarks
2021-03-16,Tuesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-03-16T09:20:00+05:30,50570.9,50600,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_50600_CE_31_OCT_24.csv, SENSEX_50600_PE_31_OCT_24.csv"
2021-03-17,Wednesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-03-17T09:20:00+05:30,50319.4,50300,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_50300_CE_31_OCT_24.csv, SENSEX_50300_PE_31_OCT_24.csv"
2021-03-18,Thursday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-03-18T09:20:00+05:30,50177.8,50200,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_50200_CE_31_OCT_24.csv, SENSEX_50200_PE_31_OCT_24.csv"
2021-03-19,Friday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-03-19T09:20:00+05:30,48795.4,48800,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_48800_CE_31_OCT_24.csv, SENSEX_48800_PE_31_OCT_24.csv"
2021-03-22,Monday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-03-22T09:20:00+05:30,49563.4,49600,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_49600_CE_31_OCT_24.csv, SENSEX_49600_PE_31_OCT_24.csv"
2021-03-23,Tuesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-03-23T09:20:00+05:30,49971.5,50000,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_50000_CE_31_OCT_24.csv, SENSEX_50000_PE_31_OCT_24.csv"
2021-03-24,Wednesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-03-24T09:20:00+05:30,49717.6,49700,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_49700_CE_31_OCT_24.csv, SENSEX_49700_PE_31_OCT_24.csv"
2021-03-25,Thursday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-03-25T09:20:00+05:30,48942.4,48900,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_48900_CE_31_OCT_24.csv, SENSEX_48900_PE_31_OCT_24.csv"
2021-03-26,Friday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-03-26T09:20:00+05:30,48872.9,48900,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_48900_CE_31_OCT_24.csv, SENSEX_48900_PE_31_OCT_24.csv"
2021-03-30,Tuesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-03-30T09:20:00+05:30,49408.8,49400,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_49400_CE_31_OCT_24.csv, SENSEX_49400_PE_31_OCT_24.csv"
2021-03-31,Wednesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-03-31T09:20:00+05:30,49742.6,49700,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_49700_CE_31_OCT_24.csv, SENSEX_49700_PE_31_OCT_24.csv"
2021-04-01,Thursday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-04-01T09:20:00+05:30,49927.3,49900,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_49900_CE_31_OCT_24.csv, SENSEX_49900_PE_31_OCT_24.csv"
2021-04-05,Monday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-04-05T09:20:00+05:30,49631.2,49600,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_49600_CE_31_OCT_24.csv, SENSEX_49600_PE_31_OCT_24.csv"
2021-04-06,Tuesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-04-06T09:20:00+05:30,48987.2,49000,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_49000_CE_31_OCT_24.csv, SENSEX_49000_PE_31_OCT_24.csv"
2021-04-07,Wednesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-04-07T09:20:00+05:30,49339.7,49300,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_49300_CE_31_OCT_24.csv, SENSEX_49300_PE_31_OCT_24.csv"
2021-04-08,Thursday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-04-08T09:20:00+05:30,50025.8,50000,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_50000_CE_31_OCT_24.csv, SENSEX_50000_PE_31_OCT_24.csv"
2021-04-09,Friday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-04-09T09:20:00+05:30,49580.7,49600,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_49600_CE_31_OCT_24.csv, SENSEX_49600_PE_31_OCT_24.csv"
2021-04-12,Monday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-04-12T09:20:00+05:30,48590.6,48600,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_48600_CE_31_OCT_24.csv, SENSEX_48600_PE_31_OCT_24.csv"
2021-04-13,Tuesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-04-13T09:20:00+05:30,47917.3,47900,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_47900_CE_31_OCT_24.csv, SENSEX_47900_PE_31_OCT_24.csv"
2021-04-15,Thursday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-04-15T09:20:00+05:30,48628.0,48600,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_48600_CE_31_OCT_24.csv, SENSEX_48600_PE_31_OCT_24.csv"
