date,net_pnl,equity,peak,drawdown,drawdown_pct
2021-05-06,40043.50,3356403.72,3356403.72,0.00,0.00
2021-05-12,69325.05,3425728.77,3425728.77,0.00,0.00
2021-05-20,85728.07,3511456.83,3511456.83,0.00,0.00
2021-05-27,38997.47,3550454.30,3550454.30,0.00,0.00
2021-06-03,23317.88,3573772.18,3573772.18,0.00,0.00
2021-06-10,42195.66,3615967.84,3615967.84,0.00,0.00
2021-06-17,23321.21,3639289.05,3639289.05,0.00,0.00
2021-06-24,-17655.02,3621634.03,3639289.05,17655.02,0.49
2021-07-01,44189.44,3665823.47,3665823.47,0.00,0.00
2021-07-15,7957.53,3673781.00,3673781.00,0.00,0.00
2021-07-22,6430.14,3680211.14,3680211.14,0.00,0.00
2021-08-12,27163.45,3707374.60,3707374.60,0.00,0.00
2021-08-18,33976.83,3741351.43,3741351.43,0.00,0.00
2021-08-26,37350.06,3778701.48,3778701.48,0.00,0.00
2021-09-02,-31030.57,3747670.91,3778701.48,31030.57,0.82
2021-09-09,33363.72,3781034.63,3781034.63,0.00,0.00
2021-09-16,6902.51,3787937.14,3787937.14,0.00,0.00
2021-09-23,-31964.01,3755973.13,3787937.14,31964.01,0.84
2021-09-30,6994.92,3762968.05,3787937.14,24969.09,0.66
2021-10-07,29742.05,3792710.10,3792710.10,0.00,0.00
2021-10-14,-3920.72,3788789.38,3792710.10,3920.72,0.10
2021-10-21,10764.38,3799553.76,3799553.76,0.00,0.00
2021-10-28,8718.95,3808272.70,3808272.70,0.00,0.00
2021-11-03,30197.46,3838470.16,3838470.16,0.00,0.00
2021-11-18,4285.36,3842755.52,3842755.52,0.00,0.00
2021-11-25,-10153.87,3832601.66,3842755.52,10153.87,0.26
2021-12-02,4117.60,3836719.25,3842755.52,6036.27,0.16
2021-12-09,70738.46,3907457.71,3907457.71,0.00,0.00
2021-12-16,23318.71,3930776.42,3930776.42,0.00,0.00
2021-12-23,-23447.86,3907328.56,3930776.42,23447.86,0.60
2021-12-30,42620.00,3949948.56,3949948.56,0.00,0.00
2022-01-06,83635.77,4033584.33,4033584.33,0.00,0.00
2022-01-13,28726.57,4062310.90,4062310.90,0.00,0.00
2022-01-20,-3019.28,4059291.62,4062310.90,3019.28,0.07
2022-01-27,-10656.25,4048635.37,4062310.90,13675.53,0.34
2022-02-03,142988.02,4191623.39,4191623.39,0.00,0.00
2022-02-10,50828.30,4242451.69,4242451.69,0.00,0.00
2022-02-17,10947.57,4253399.26,4253399.26,0.00,0.00
2022-02-24,-92097.26,4161302.00,4253399.26,92097.26,2.17
