entry_date,exit_date,expiry,atm,entry_spot,prev_vix,lot_size,lots,qty,traded,skip_reason,remarks,legs_traded,adds,unwinds,rolls,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked,rolls_blocked,entry_offset,entry_balance
2023-03-03,2023-03-09,2023-03-09,17450,17474.40,12.97,50,2,100,YES,,,10,6,6,2,20,5,18.85,1885.00,544.42,1340.58,0,158,521,0,0.85
2023-03-10,2023-03-16,2023-03-16,17400,17396.60,12.73,50,2,100,YES,,,22,16,13,4,44,5,-6.50,-650.00,1227.18,-1877.18,0,104,395,0,0.97
2023-03-17,2023-03-23,2023-03-23,17100,17107.70,16.22,50,2,100,YES,,,15,12,12,1,30,5,56.20,5620.00,813.01,4806.99,0,244,0,0,0.87
2023-03-24,2023-03-29,2023-03-29,17100,17052.20,14.49,50,2,100,YES,,,19,16,16,1,38,5,74.35,7435.00,995.13,6439.87,0,151,0,50,0.82
2023-03-31,2023-04-06,2023-04-06,17250,17270.90,13.63,50,2,100,YES,,,9,6,3,1,18,5,47.30,4730.00,492.05,4237.95,15,121,721,0,0.91
2023-04-10,2023-04-13,2023-04-13,0,0.00,11.80,50,0,0,NO,vix_below_floor,Previous day India VIX 11.80 < 12.,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0.00
2023-04-17,2023-04-20,2023-04-20,0,0.00,11.91,50,0,0,NO,vix_below_floor,Previous day India VIX 11.91 < 12.,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0.00
2023-04-21,2023-04-27,2023-04-27,0,0.00,11.94,50,0,0,NO,vix_below_floor,Previous day India VIX 11.94 < 12.,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0.00
2023-04-28,2023-05-04,2023-05-04,0,0.00,11.43,50,0,0,NO,vix_below_floor,Previous day India VIX 11.43 < 12.,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0.00
2023-05-05,2023-05-11,2023-05-11,0,0.00,11.73,50,0,0,NO,vix_below_floor,Previous day India VIX 11.73 < 12.,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0.00
2023-05-12,2023-05-18,2023-05-18,18250,18223.40,13.22,50,2,100,YES,,,12,8,7,2,24,5,48.70,4870.00,649.05,4220.95,0,325,223,50,0.89
2023-05-19,2023-05-25,2023-05-25,18150,18145.10,12.80,50,0,0,NO,balance_check_failed,"Best of 11 strikes near ATM 18150 was 18150 at 79.9%, needs >= 80%",0,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0.00
2023-05-26,2023-06-01,2023-06-01,18350,18336.60,12.52,50,2,100,YES,,,7,3,0,2,14,5,223.50,22350.00,379.36,21970.64,5,0,1419,0,0.97
2023-06-02,2023-06-08,2023-06-08,0,0.00,11.60,50,0,0,NO,vix_below_floor,Previous day India VIX 11.60 < 12.,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0.00
2023-06-09,2023-06-15,2023-06-15,0,0.00,11.26,50,0,0,NO,vix_below_floor,Previous day India VIX 11.26 < 12.,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0.00
2023-06-16,2023-06-22,2023-06-22,0,0.00,11.08,50,0,0,NO,vix_below_floor,Previous day India VIX 11.08 < 12.,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0.00
2023-06-23,2023-06-28,2023-06-28,0,0.00,11.55,50,0,0,NO,vix_below_floor,Previous day India VIX 11.55 < 12.,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0.00
2023-06-30,2023-07-06,2023-07-06,0,0.00,10.89,50,0,0,NO,vix_below_floor,Previous day India VIX 10.89 < 12.,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0.00
2023-07-07,2023-07-13,2023-07-13,0,0.00,11.84,50,0,0,NO,vix_below_floor,Previous day India VIX 11.84 < 12.,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0.00
2023-07-14,2023-07-20,2023-07-20,0,0.00,10.94,50,0,0,NO,vix_below_floor,Previous day India VIX 10.94 < 12.,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0.00
2023-07-21,2023-07-27,2023-07-27,0,0.00,11.79,50,0,0,NO,vix_below_floor,Previous day India VIX 11.79 < 12.,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0.00
2023-07-28,2023-08-03,2023-08-03,0,0.00,10.51,50,0,0,NO,vix_below_floor,Previous day India VIX 10.51 < 12.,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0.00
