entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked
2023-09-22,2023-09-28,2023-09-28,19800,50,YES,,,14,12,12,28,6,-19.25,-962.50,840.00,-1802.50,0,374
2023-09-29,2023-10-05,2023-10-05,19600,50,YES,,,13,11,11,26,6,-30.60,-1530.00,780.00,-2310.00,1,427
2023-10-06,2023-10-12,2023-10-12,19600,50,YES,,,14,12,7,28,7,156.80,7840.00,840.00,7000.00,35,462
2023-10-13,2023-10-19,2023-10-19,19700,50,YES,,,12,10,10,24,5,19.85,992.50,720.00,272.50,0,188
2023-10-20,2023-10-26,2023-10-26,19550,50,YES,,,10,8,5,20,9,-156.95,-7847.50,600.00,-8447.50,39,660
2023-10-27,2023-11-02,2023-11-02,18950,50,YES,,,20,18,18,40,7,-69.80,-3490.00,1200.00,-4690.00,0,305
2023-11-03,2023-11-09,2023-11-09,19250,50,NO,balance_check_failed,"CE=120.25 PE=77.20 within 64.2%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2023-11-10,2023-11-16,2023-11-16,19350,50,YES,,,8,6,3,16,5,-59.95,-2997.50,480.00,-3477.50,1563,851
2023-11-17,2023-11-23,2023-11-23,19750,50,YES,,,10,8,8,20,4,91.40,4570.00,600.00,3970.00,0,251
2023-11-24,2023-11-30,2023-11-30,19800,50,NO,balance_check_failed,"CE=121.25 PE=59.00 within 48.7%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2023-12-01,2023-12-07,2023-12-07,20200,50,NO,balance_check_failed,"CE=170.80 PE=91.85 within 53.8%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2023-12-08,2023-12-14,2023-12-14,20950,50,NO,balance_check_failed,"CE=139.25 PE=94.20 within 67.6%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2023-12-15,2023-12-21,2023-12-21,21250,50,NO,balance_check_failed,"CE=161.90 PE=74.35 within 45.9%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2023-12-22,2023-12-28,2023-12-28,21300,50,NO,balance_check_failed,"CE=150.60 PE=116.80 within 77.6%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2023-12-29,2024-01-04,2024-01-04,21700,50,NO,balance_check_failed,"CE=187.85 PE=127.05 within 67.6%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2024-01-05,2024-01-11,2024-01-11,21750,50,YES,,,16,14,14,32,6,-46.00,-2300.00,960.00,-3260.00,0,102
2024-01-12,2024-01-18,2024-01-18,21750,50,YES,,,16,14,10,32,6,-260.05,-13002.50,960.00,-13962.50,86,446
2024-01-19,2024-01-25,2024-01-25,21650,50,YES,,,19,17,17,38,10,-90.10,-4505.00,1140.00,-5645.00,2,290
2024-01-29,2024-02-01,2024-02-01,21500,50,NO,balance_check_failed,"CE=206.15 PE=150.75 within 73.1%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2024-02-02,2024-02-08,2024-02-08,21900,50,YES,,,17,15,13,34,4,85.00,4250.00,1020.00,3230.00,0,290
2024-02-09,2024-02-15,2024-02-15,21700,50,YES,,,15,13,11,30,7,262.80,13140.00,900.00,12240.00,0,293
