entry_date,status,skip_reason,expiry_date,exit_date,spot_entry_timestamp,spot_entry_open,spot_exit_timestamp,spot_exit_open,atm_strike,sell_ce_strike,sell_ce_entry_timestamp,sell_ce_entry_open,sell_ce_exit_timestamp,sell_ce_exit_open,sell_pe_strike,sell_pe_entry_timestamp,sell_pe_entry_open,sell_pe_exit_timestamp,sell_pe_exit_open,buy_ce_strike,buy_ce_entry_timestamp,buy_ce_entry_open,buy_ce_exit_timestamp,buy_ce_exit_open,buy_pe_strike,buy_pe_entry_timestamp,buy_pe_entry_open,buy_pe_exit_timestamp,buy_pe_exit_open,entry_credit_points,entry_debit_points,net_entry_credit_points,gross_pnl,brokerage,net_pnl,adjustments,remarks
2025-07-07,TRADED,,2025-07-17,2025-07-14,2025-07-07T09:30:00+05:30,25441.4,2025-07-14T09:25:00+05:30,25054.7,25450,26050,2025-07-07T09:30:00+05:30,29.2,2025-07-14T09:25:00+05:30,2.3,24800,2025-07-07T09:30:00+05:30,31.45,2025-07-14T09:25:00+05:30,33.4,26350,2025-07-07T09:30:00+05:30,9.25,2025-07-14T09:25:00+05:30,1.45,24350,2025-07-07T09:30:00+05:30,10.6,2025-07-14T09:25:00+05:30,6.35,60.65,19.85,40.80,1274.00,200.00,1074.00,0,
2025-07-14,TRADED,,2025-07-24,2025-07-21,2025-07-14T09:30:00+05:30,25071.9,2025-07-21T09:25:00+05:30,24925.8,25050,25700,2025-07-14T09:30:00+05:30,27.4,2025-07-21T09:25:00+05:30,3.8,24500,2025-07-14T09:30:00+05:30,30.5,2025-07-21T09:25:00+05:30,11.9,26100,2025-07-14T09:30:00+05:30,7.7,2025-07-21T09:25:00+05:30,1.6,24050,2025-07-14T09:30:00+05:30,10.25,2025-07-21T09:25:00+05:30,2.95,57.90,17.95,39.95,5408.00,200.00,5208.00,0,
2025-07-21,TRADED,,2025-07-31,2025-07-28,2025-07-21T09:30:00+05:30,24901.9,2025-07-28T09:25:00+05:30,24783.45,24900,25450,2025-07-21T09:30:00+05:30,31.8,2025-07-28T09:25:00+05:30,6.2,24350,2025-07-21T09:30:00+05:30,30.75,2025-07-28T09:25:00+05:30,13.55,25800,2025-07-21T09:30:00+05:30,11.05,2025-07-28T09:25:00+05:30,2.2,23900,2025-07-21T09:30:00+05:30,10.45,2025-07-28T09:25:00+05:30,3.65,62.55,21.50,41.05,4979.00,200.00,4779.00,0,
2025-07-28,TRADED,,2025-08-07,2025-08-04,2025-07-28T09:30:00+05:30,24784.05,2025-08-04T09:25:00+05:30,24647.35,24800,25400,2025-07-28T09:30:00+05:30,30.35,2025-08-04T09:25:00+05:30,4.65,24200,2025-07-28T09:30:00+05:30,28.85,2025-08-04T09:25:00+05:30,21.15,25750,2025-07-28T09:30:00+05:30,10.25,2025-08-04T09:25:00+05:30,1.75,23750,2025-07-28T09:30:00+05:30,9.85,2025-08-04T09:25:00+05:30,4.75,59.20,20.10,39.10,3068.00,200.00,2868.00,0,
2025-08-04,TRADED,,2025-08-14,2025-08-11,2025-08-04T09:30:00+05:30,24659.65,2025-08-11T09:25:00+05:30,24409.6,24650,25300,2025-08-04T09:30:00+05:30,29.55,2025-08-11T09:25:00+05:30,2.45,23950,2025-08-04T09:30:00+05:30,29.7,2025-08-11T09:25:00+05:30,13.65,25650,2025-08-04T09:30:00+05:30,9.4,2025-08-11T09:25:00+05:30,1.35,23400,2025-08-04T09:30:00+05:30,9.75,2025-08-11T09:25:00+05:30,2.7,59.25,19.15,40.10,5213.00,200.00,5013.00,0,
2025-08-11,TRADED,,2025-08-21,2025-08-18,2025-08-11T09:30:00+05:30,24400.9,2025-08-18T09:25:00+05:30,24942.05,24400,25000,2025-08-11T09:30:00+05:30,29.3,2025-08-18T09:25:00+05:30,123.0,23850,2025-08-11T09:30:00+05:30,31.55,2025-08-18T09:25:00+05:30,2.85,25350,2025-08-11T09:30:00+05:30,9.05,2025-08-18T09:25:00+05:30,24.15,23400,2025-08-11T09:30:00+05:30,10.2,2025-08-18T09:25:00+05:30,1.8,60.85,19.25,41.60,-17238.00,200.00,-17438.00,0,
2025-08-18,TRADED,,2025-08-28,2025-08-25,2025-08-18T09:30:00+05:30,24964.8,2025-08-25T09:25:00+05:30,24933.25,24950,25600,2025-08-18T09:30:00+05:30,27.35,2025-08-25T09:25:00+05:30,2.95,24300,2025-08-18T09:30:00+05:30,28.4,2025-08-25T09:25:00+05:30,3.85,25950,2025-08-18T09:30:00+05:30,8.85,2025-08-25T09:25:00+05:30,1.55,23750,2025-08-18T09:30:00+05:30,9.75,2025-08-25T09:25:00+05:30,1.65,55.75,18.60,37.15,6643.00,200.00,6443.00,0,
2025-08-25,TRADED,,2025-09-02,2025-09-01,2025-08-25T09:30:00+05:30,24947.8,2025-09-01T09:25:00+05:30,24529.0,24950,25400,2025-08-25T09:30:00+05:30,27.0,2025-09-01T09:25:00+05:30,0.9,24550,2025-08-25T09:30:00+05:30,27.9,2025-09-01T09:25:00+05:30,65.1,25650,2025-08-25T09:30:00+05:30,9.1,2025-09-01T09:25:00+05:30,0.75,24200,2025-08-25T09:30:00+05:30,9.0,2025-09-01T09:25:00+05:30,5.0,54.90,18.10,36.80,-8177.00,200.00,-8377.00,0,
2025-09-01,TRADED,,2025-09-09,2025-09-08,2025-09-01T09:30:00+05:30,24529.25,2025-09-08T09:25:00+05:30,24766.45,24550,25000,2025-09-01T09:30:00+05:30,29.5,2025-09-08T09:25:00+05:30,11.05,24100,2025-09-01T09:30:00+05:30,29.5,2025-09-08T09:25:00+05:30,1.65,25250,2025-09-01T09:30:00+05:30,9.5,2025-09-08T09:25:00+05:30,1.75,23750,2025-09-01T09:30:00+05:30,9.95,2025-09-08T09:25:00+05:30,1.05,59.00,19.45,39.55,5629.00,200.00,5429.00,0,
2025-09-08,TRADED,,2025-09-16,2025-09-15,2025-09-08T09:30:00+05:30,24787.75,2025-09-15T09:25:00+05:30,25097.7,24800,25200,2025-09-08T09:30:00+05:30,28.55,2025-09-15T09:25:00+05:30,26.8,24400,2025-09-08T09:30:00+05:30,29.4,2025-09-15T09:25:00+05:30,1.8,25450,2025-09-08T09:30:00+05:30,8.25,2025-09-15T09:25:00+05:30,2.35,24050,2025-09-08T09:30:00+05:30,10.05,2025-09-15T09:25:00+05:30,1.3,57.95,18.30,39.65,1742.00,200.00,1542.00,0,
