entry_date,status,skip_reason,expiry_date,signal_timestamp,signal_close,spot_sma_25,spot_signal_relation,entry_timestamp,exit_timestamp,atm_strike,itm_strike,itm_distance_points,sold_side,contract_name,option_entry_open,option_exit_open,exit_reason,gross_pnl,brokerage,net_pnl,remarks
2025-09-16,TRADED,,2025-09-16,2025-09-16T09:20:00+05:30,25107.25,25088.44,ABOVE_SMA,2025-09-16T09:20:00+05:30,2025-09-16T15:00:00+05:30,25100,25200,100,PE,NIFTY_25200_PE_16_SEP_25.csv,104.65,4.15,scheduled_exit,25610.00,50.00,25560.00,
2025-09-23,TRADED,,2025-09-23,2025-09-23T09:20:00+05:30,25224.95,25274.03,BELOW_SMA,2025-09-23T09:20:00+05:30,2025-09-23T15:00:00+05:30,25200,25100,100,CE,NIFTY_25100_CE_23_SEP_25.csv,143.2,80.65,scheduled_exit,15743.00,50.00,15693.00,
2025-09-30,TRADED,,2025-09-30,2025-09-30T09:20:00+05:30,24712.55,24702.00,ABOVE_SMA,2025-09-30T09:20:00+05:30,2025-09-30T15:00:00+05:30,24700,24800,100,PE,NIFTY_24800_PE_30_SEP_25.csv,95.75,162.85,scheduled_exit,-17966.00,50.00,-18016.00,
2025-10-07,TRADED,,2025-10-07,2025-10-07T09:20:00+05:30,25083.7,25025.40,ABOVE_SMA,2025-10-07T09:20:00+05:30,2025-10-07T15:00:00+05:30,25100,25200,100,PE,NIFTY_25200_PE_07_OCT_25.csv,124.65,64.8,scheduled_exit,15041.00,50.00,14991.00,
2025-10-14,TRADED,,2025-10-14,2025-10-14T09:20:00+05:30,25290.75,25210.01,ABOVE_SMA,2025-10-14T09:20:00+05:30,2025-10-14T15:00:00+05:30,25300,25400,100,PE,NIFTY_25400_PE_14_OCT_25.csv,110.25,228.2,scheduled_exit,-31187.00,50.00,-31237.00,
2025-10-20,TRADED,,2025-10-20,2025-10-20T09:20:00+05:30,25903.25,25712.53,ABOVE_SMA,2025-10-20T09:20:00+05:30,2025-10-20T15:00:00+05:30,25900,26000,100,PE,NIFTY_26000_PE_20_OCT_25.csv,100.75,173.05,scheduled_exit,-19318.00,50.00,-19368.00,
2025-10-28,TRADED,,2025-10-28,2025-10-28T09:20:00+05:30,25968.05,25964.47,ABOVE_SMA,2025-10-28T09:20:00+05:30,2025-10-28T15:00:00+05:30,25950,26050,100,PE,NIFTY_26050_PE_28_OCT_25.csv,104.55,192.95,scheduled_exit,-23504.00,50.00,-23554.00,
2025-11-04,TRADED,,2025-11-04,2025-11-04T09:20:00+05:30,25754.6,25748.82,ABOVE_SMA,2025-11-04T09:20:00+05:30,2025-11-04T15:00:00+05:30,25750,25850,100,PE,NIFTY_25850_PE_04_NOV_25.csv,118.0,246.15,scheduled_exit,-33839.00,50.00,-33889.00,
2025-11-11,TRADED,,2025-11-11,2025-11-11T09:20:00+05:30,25544.65,25609.40,BELOW_SMA,2025-11-11T09:20:00+05:30,2025-11-11T15:00:00+05:30,25550,25450,100,CE,NIFTY_25450_CE_11_NOV_25.csv,127.1,227.0,scheduled_exit,-26494.00,50.00,-26544.00,
2025-11-18,TRADED,,2025-11-18,2025-11-18T09:20:00+05:30,25946.1,25972.16,BELOW_SMA,2025-11-18T09:20:00+05:30,2025-11-18T15:00:00+05:30,25950,25850,100,CE,NIFTY_25850_CE_18_NOV_25.csv,116.4,90.8,scheduled_exit,6136.00,50.00,6086.00,
2025-11-25,TRADED,,2025-11-25,2025-11-25T09:20:00+05:30,25963.75,26067.67,BELOW_SMA,2025-11-25T09:20:00+05:30,2025-11-25T15:00:00+05:30,25950,25850,100,CE,NIFTY_25850_CE_25_NOV_25.csv,131.95,42.65,scheduled_exit,22698.00,50.00,22648.00,
2025-12-02,TRADED,,2025-12-02,2025-12-02T09:20:00+05:30,26141.55,26208.41,BELOW_SMA,2025-12-02T09:20:00+05:30,2025-12-02T15:00:00+05:30,26150,26050,100,CE,NIFTY_26050_CE_02_DEC_25.csv,118.1,1.65,scheduled_exit,29757.00,50.00,29707.00,
2025-12-09,TRADED,,2025-12-09,2025-12-09T09:20:00+05:30,25819.6,26008.28,BELOW_SMA,2025-12-09T09:20:00+05:30,2025-12-09T15:00:00+05:30,25800,25700,100,CE,NIFTY_25700_CE_09_DEC_25.csv,145.5,133.75,scheduled_exit,2535.00,50.00,2485.00,
2025-12-16,TRADED,,2025-12-16,2025-12-16T09:20:00+05:30,25938.35,25999.24,BELOW_SMA,2025-12-16T09:20:00+05:30,2025-12-16T15:00:00+05:30,25950,25850,100,CE,NIFTY_25850_CE_16_DEC_25.csv,108.6,40.3,scheduled_exit,17238.00,50.00,17188.00,
2025-12-23,TRADED,,2025-12-23,2025-12-23T09:20:00+05:30,26166.65,26142.24,ABOVE_SMA,2025-12-23T09:20:00+05:30,2025-12-23T15:00:00+05:30,26150,26250,100,PE,NIFTY_26250_PE_23_DEC_25.csv,101.9,63.1,scheduled_exit,9568.00,50.00,9518.00,
2025-12-30,TRADED,,2025-12-30,2025-12-30T09:20:00+05:30,25908.65,25973.50,BELOW_SMA,2025-12-30T09:20:00+05:30,2025-12-30T15:00:00+05:30,25900,25800,100,CE,NIFTY_25800_CE_30_DEC_25.csv,113.25,144.4,scheduled_exit,-8619.00,50.00,-8669.00,
