entry_date,status,skip_reason,active_expiry,spot_atm_timestamp,spot_atm_open,atm_strike,sell_ce_strike,sell_ce_entry_timestamp,sell_ce_entry_open,sell_ce_exit_timestamp,sell_ce_exit_open,sell_pe_strike,sell_pe_entry_timestamp,sell_pe_entry_open,sell_pe_exit_timestamp,sell_pe_exit_open,buy_ce_strike,buy_ce_entry_timestamp,buy_ce_entry_open,buy_ce_exit_timestamp,buy_ce_exit_open,buy_pe_strike,buy_pe_entry_timestamp,buy_pe_entry_open,buy_pe_exit_timestamp,buy_pe_exit_open,lot_size,num_lots,total_qty,net_entry_credit_points,gross_pnl,brokerage,net_pnl,remarks
2022-08-02,TRADED,,2022-08-04,2022-08-02T09:15:00+05:30,17310.2,17300,17550,2022-08-02T09:20:00+05:30,19.25,2022-08-02T15:20:00+05:30,15.75,17050,2022-08-02T09:20:00+05:30,31.45,2022-08-02T15:20:00+05:30,24.4,17750,2022-08-02T09:20:00+05:30,3.6,2022-08-02T15:20:00+05:30,2.6,16850,2022-08-02T09:20:00+05:30,12.95,2022-08-02T15:20:00+05:30,10.7,50,6,300,34.15,-210.00,200.00,-410.00,
2022-08-03,TRADED,,2022-08-04,2022-08-03T09:15:00+05:30,17349.2,17350,17600,2022-08-03T09:20:00+05:30,10.2,2022-08-03T15:20:00+05:30,5.5,17100,2022-08-03T09:20:00+05:30,20.95,2022-08-03T15:20:00+05:30,9.7,17800,2022-08-03T09:20:00+05:30,1.9,2022-08-03T15:20:00+05:30,1.2,16900,2022-08-03T09:20:00+05:30,8.5,2022-08-03T15:20:00+05:30,4.55,50,6,300,20.75,990.00,200.00,790.00,
2022-08-04,TRADED,,2022-08-04,2022-08-04T09:15:00+05:30,17463.1,17450,17700,2022-08-04T09:20:00+05:30,1.55,2022-08-04T15:20:00+05:30,0.05,17200,2022-08-04T09:20:00+05:30,4.05,2022-08-04T15:20:00+05:30,0.15,17900,2022-08-04T09:20:00+05:30,0.7,2022-08-04T15:20:00+05:30,0.05,17000,2022-08-04T09:20:00+05:30,1.7,2022-08-04T15:20:00+05:30,0.05,50,6,300,3.20,-1470.00,200.00,-1670.00,
2022-08-05,TRADED,,2022-08-11,2022-08-05T09:15:00+05:30,17423.7,17400,17650,2022-08-05T09:20:00+05:30,67.75,2022-08-05T15:20:00+05:30,40.95,17150,2022-08-05T09:20:00+05:30,77.15,2022-08-05T15:20:00+05:30,57.6,17850,2022-08-05T09:20:00+05:30,26.9,2022-08-05T15:20:00+05:30,11.45,16950,2022-08-05T09:20:00+05:30,39.5,2022-08-05T15:20:00+05:30,27.25,50,6,300,78.50,3195.00,200.00,2995.00,
2022-08-08,TRADED,,2022-08-11,2022-08-08T09:15:00+05:30,17401.5,17400,17650,2022-08-08T09:20:00+05:30,27.9,2022-08-08T15:20:00+05:30,50.0,17150,2022-08-08T09:20:00+05:30,50.35,2022-08-08T15:20:00+05:30,19.8,17850,2022-08-08T09:20:00+05:30,6.95,2022-08-08T15:20:00+05:30,8.55,16950,2022-08-08T09:20:00+05:30,20.5,2022-08-08T15:20:00+05:30,8.8,50,6,300,50.80,-2895.00,200.00,-3095.00,
2022-08-10,TRADED,,2022-08-11,2022-08-10T09:15:00+05:30,17566.1,17550,17800,2022-08-10T09:20:00+05:30,10.15,2022-08-10T15:20:00+05:30,4.7,17300,2022-08-10T09:20:00+05:30,31.2,2022-08-10T15:20:00+05:30,17.3,18000,2022-08-10T09:20:00+05:30,2.15,2022-08-10T15:20:00+05:30,1.05,17100,2022-08-10T09:20:00+05:30,10.5,2022-08-10T15:20:00+05:30,5.05,50,6,300,28.70,1440.00,200.00,1240.00,
2022-08-11,TRADED,,2022-08-11,2022-08-11T09:15:00+05:30,17711.7,17700,17950,2022-08-11T09:20:00+05:30,1.5,2022-08-11T15:20:00+05:30,0.05,17450,2022-08-11T09:20:00+05:30,4.95,2022-08-11T15:20:00+05:30,0.1,18150,2022-08-11T09:20:00+05:30,0.55,2022-08-11T15:20:00+05:30,0.05,17250,2022-08-11T09:20:00+05:30,2.0,2022-08-11T15:20:00+05:30,0.05,50,6,300,3.90,-1245.00,200.00,-1445.00,
2022-08-12,TRADED,,2022-08-18,2022-08-12T09:15:00+05:30,17659.7,17650,17900,2022-08-12T09:20:00+05:30,30.0,2022-08-12T15:20:00+05:30,33.1,17400,2022-08-12T09:20:00+05:30,42.75,2022-08-12T15:20:00+05:30,25.45,18100,2022-08-12T09:20:00+05:30,7.1,2022-08-12T15:20:00+05:30,7.05,17200,2022-08-12T09:20:00+05:30,17.6,2022-08-12T15:20:00+05:30,10.25,50,6,300,48.05,-360.00,200.00,-560.00,
2022-08-16,TRADED,,2022-08-18,2022-08-16T09:15:00+05:30,17797.2,17800,18050,2022-08-16T09:20:00+05:30,11.35,2022-08-16T15:20:00+05:30,11.65,17550,2022-08-16T09:20:00+05:30,23.7,2022-08-16T15:20:00+05:30,11.15,18250,2022-08-16T09:20:00+05:30,2.7,2022-08-16T15:20:00+05:30,2.15,17350,2022-08-16T09:20:00+05:30,7.4,2022-08-16T15:20:00+05:30,4.4,50,6,300,24.95,210.00,200.00,10.00,
2022-08-17,TRADED,,2022-08-18,2022-08-17T09:15:00+05:30,17868.2,17850,18100,2022-08-17T09:20:00+05:30,5.95,2022-08-17T15:20:00+05:30,10.0,17600,2022-08-17T09:20:00+05:30,9.9,2022-08-17T15:20:00+05:30,5.8,18300,2022-08-17T09:20:00+05:30,1.55,2022-08-17T15:20:00+05:30,1.15,17400,2022-08-17T09:20:00+05:30,3.3,2022-08-17T15:20:00+05:30,2.95,50,6,300,11.00,-2610.00,200.00,-2810.00,
