index,entry_date,day_of_week,status,skip_reason,expiry_date,spot_entry_timestamp,spot_entry_open,atm_strike,lot_size,lots,quantity,ce_contract_file,ce_entry_open,ce_stop_price,ce_exit_timestamp,ce_exit_price,ce_exit_reason,ce_points_pnl,ce_gross_pnl,pe_contract_file,pe_entry_open,pe_stop_price,pe_exit_timestamp,pe_exit_price,pe_exit_reason,pe_points_pnl,pe_gross_pnl,gross_pnl,brokerage,net_pnl,remarks
SENSEX,2026-02-05,Thursday,TRADED,,2026-02-05,2026-02-05T09:20:00+05:30,83693.16,83700,10,10,100,SENSEX_83700_CE_05_FEB_26.csv,176.40,211.68,2026-02-05T15:20:00+05:30,0.10,day_close,175.30,17530.00,SENSEX_83700_PE_05_FEB_26.csv,214.20,257.04,2026-02-05T09:20:00+05:30,257.04,sl,-43.84,-4384.00,13146.00,100.00,13046.00,
NIFTY,2026-02-06,Friday,TRADED,,2026-02-10,2026-02-06T09:20:00+05:30,25600.65,25600,65,5,325,NIFTY_25600_CE_10_FEB_26.csv,127.55,153.06,2026-02-06T15:20:00+05:30,140.20,day_close,-13.65,-4436.25,NIFTY_25600_PE_10_FEB_26.csv,123.65,148.38,2026-02-06T09:43:00+05:30,148.38,sl,-25.73,-8362.25,-12798.50,100.00,-12898.50,
NIFTY,2026-02-09,Monday,TRADED,,2026-02-10,2026-02-09T09:20:00+05:30,25814.3,25800,65,5,325,NIFTY_25800_CE_10_FEB_26.csv,103.30,123.96,2026-02-09T10:55:00+05:30,123.96,sl,-21.66,-7039.50,NIFTY_25800_PE_10_FEB_26.csv,72.95,87.54,2026-02-09T15:20:00+05:30,46.85,day_close,25.10,8157.50,1118.00,100.00,1018.00,
NIFTY,2026-02-10,Tuesday,TRADED,,2026-02-10,2026-02-10T09:20:00+05:30,25918.1,25900,65,5,325,NIFTY_25900_CE_10_FEB_26.csv,60.55,72.66,2026-02-10T09:34:00+05:30,72.66,sl,-13.11,-4260.75,NIFTY_25900_PE_10_FEB_26.csv,40.50,48.60,2026-02-10T09:23:00+05:30,48.60,sl,-9.10,-2957.50,-7218.25,100.00,-7318.25,
SENSEX,2026-02-11,Wednesday,TRADED,,2026-02-12,2026-02-11T09:20:00+05:30,84410.92,84400,10,10,100,SENSEX_84400_CE_12_FEB_26.csv,257.55,309.06,2026-02-11T15:20:00+05:30,131.15,day_close,125.40,12540.00,SENSEX_84400_PE_12_FEB_26.csv,194.55,233.46,2026-02-11T09:32:00+05:30,233.46,sl,-39.91,-3991.00,8549.00,100.00,8449.00,
SENSEX,2026-02-12,Thursday,TRADED,,2026-02-12,2026-02-12T09:20:00+05:30,83904.48,83900,10,10,100,SENSEX_83900_CE_12_FEB_26.csv,167.45,200.94,2026-02-12T15:20:00+05:30,0.30,day_close,166.15,16615.00,SENSEX_83900_PE_12_FEB_26.csv,131.75,158.10,2026-02-12T09:22:00+05:30,158.10,sl,-27.35,-2735.00,13880.00,100.00,13780.00,
NIFTY,2026-02-13,Friday,TRADED,,2026-02-17,2026-02-13T09:20:00+05:30,25597.1,25600,65,5,325,NIFTY_25600_CE_17_FEB_26.csv,122.95,147.54,2026-02-13T15:20:00+05:30,72.70,day_close,49.25,16006.25,NIFTY_25600_PE_17_FEB_26.csv,93.20,111.84,2026-02-13T09:32:00+05:30,111.84,sl,-19.64,-6383.00,9623.25,100.00,9523.25,
NIFTY,2026-02-16,Monday,TRADED,,2026-02-17,2026-02-16T09:20:00+05:30,25473.05,25450,65,5,325,NIFTY_25450_CE_17_FEB_26.csv,108.85,130.62,2026-02-16T10:02:00+05:30,130.62,sl,-22.77,-7400.25,NIFTY_25450_PE_17_FEB_26.csv,80.05,96.06,2026-02-16T15:20:00+05:30,24.05,day_close,55.00,17875.00,10474.75,100.00,10374.75,
NIFTY,2026-02-17,Tuesday,TRADED,,2026-02-17,2026-02-17T09:20:00+05:30,25610.45,25600,65,5,325,NIFTY_25600_CE_17_FEB_26.csv,49.20,59.04,2026-02-17T09:42:00+05:30,59.04,sl,-10.84,-3523.00,NIFTY_25600_PE_17_FEB_26.csv,51.45,61.74,2026-02-17T09:20:00+05:30,61.74,sl,-11.29,-3669.25,-7192.25,100.00,-7292.25,
SENSEX,2026-02-18,Wednesday,TRADED,,2026-02-19,2026-02-18T09:20:00+05:30,83508.15,83500,10,10,100,SENSEX_83500_CE_19_FEB_26.csv,246.85,296.22,2026-02-18T14:21:00+05:30,296.22,sl,-50.37,-5037.00,SENSEX_83500_PE_19_FEB_26.csv,237.55,285.06,2026-02-18T09:23:00+05:30,285.06,sl,-48.51,-4851.00,-9888.00,100.00,-9988.00,
SENSEX,2026-02-19,Thursday,TRADED,,2026-02-19,2026-02-19T09:20:00+05:30,83832.82,83800,10,10,100,SENSEX_83800_CE_19_FEB_26.csv,150.15,180.18,2026-02-19T09:21:00+05:30,180.18,sl,-31.03,-3103.00,SENSEX_83800_PE_19_FEB_26.csv,126.80,152.16,2026-02-19T09:25:00+05:30,152.16,sl,-26.36,-2636.00,-5739.00,100.00,-5839.00,
NIFTY,2026-02-20,Friday,TRADED,,2026-02-24,2026-02-20T09:20:00+05:30,25453.25,25450,65,5,325,NIFTY_25450_CE_24_FEB_26.csv,139.00,166.80,2026-02-20T09:48:00+05:30,166.80,sl,-28.80,-9360.00,NIFTY_25450_PE_24_FEB_26.csv,116.15,139.38,2026-02-20T09:25:00+05:30,139.38,sl,-24.23,-7874.75,-17234.75,100.00,-17334.75,
NIFTY,2026-02-23,Monday,TRADED,,2026-02-24,2026-02-23T09:20:00+05:30,25698.15,25700,65,5,325,NIFTY_25700_CE_24_FEB_26.csv,106.25,127.50,2026-02-23T09:24:00+05:30,127.50,sl,-22.25,-7231.25,NIFTY_25700_PE_24_FEB_26.csv,102.35,122.82,2026-02-23T10:44:00+05:30,122.82,sl,-21.47,-6977.75,-14209.00,100.00,-14309.00,
NIFTY,2026-02-24,Tuesday,TRADED,,2026-02-24,2026-02-24T09:20:00+05:30,25571.25,25550,65,5,325,NIFTY_25550_CE_24_FEB_26.csv,77.25,92.70,2026-02-24T15:20:00+05:30,0.15,day_close,76.10,24732.50,NIFTY_25550_PE_24_FEB_26.csv,56.30,67.56,2026-02-24T09:30:00+05:30,67.56,sl,-12.26,-3984.50,20748.00,100.00,20648.00,
SENSEX,2026-02-25,Wednesday,TRADED,,2026-02-26,2026-02-25T09:20:00+05:30,82696.13,82700,10,10,100,SENSEX_82700_CE_26_FEB_26.csv,335.20,402.24,2026-02-25T10:13:00+05:30,402.24,sl,-68.04,-6804.00,SENSEX_82700_PE_26_FEB_26.csv,269.55,323.46,2026-02-25T12:33:00+05:30,323.46,sl,-54.91,-5491.00,-12295.00,100.00,-12395.00,
SENSEX,2026-02-26,Thursday,TRADED,,2026-02-26,2026-02-26T09:20:00+05:30,82426.77,82400,10,10,100,SENSEX_82400_CE_26_FEB_26.csv,229.25,275.10,2026-02-26T09:45:00+05:30,275.10,sl,-46.85,-4685.00,SENSEX_82400_PE_26_FEB_26.csv,163.90,196.68,2026-02-26T09:21:00+05:30,196.68,sl,-33.78,-3378.00,-8063.00,100.00,-8163.00,
NIFTY,2026-02-27,Friday,TRADED,,2026-03-02,2026-02-27T09:20:00+05:30,25394.8,25400,65,5,325,NIFTY_25400_CE_02_MAR_26.csv,109.60,131.52,2026-02-27T15:20:00+05:30,39.25,day_close,69.35,22538.75,NIFTY_25400_PE_02_MAR_26.csv,111.40,133.68,2026-02-27T09:30:00+05:30,133.68,sl,-23.28,-7566.00,14972.75,100.00,14872.75,
