entry_date,status,skip_reason,expiry_date,trades,ce_trades,pe_trades,stopped_trades,day_close_trades,skipped_signals,orders_executed,gross_pnl,brokerage,net_pnl,max_consec_sl_in_day,sl_capped,remarks
2021-12-13,SKIPPED,random_skip,2021-12-16,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-12-14,TRADED,ma_gap_exceeded,2021-12-16,2,2,0,2,0,3,4,-1065.00,100.00,-1165.00,2,True,Gap 171.78 > threshold 125; close=17306.7 sma=17478.48; Gap 171.78 > threshold 125; close=17306.7 sma=17478.48; Gap 155.84 > threshold 125; close=17310.0 sma=17465.84
2021-12-15,TRADED,,2021-12-16,2,1,1,2,0,0,4,16125.00,100.00,16025.00,2,True,
2021-12-16,TRADED,,2021-12-16,2,0,2,2,0,0,4,-14310.00,100.00,-14410.00,2,True,
2021-12-17,TRADED,,2021-12-23,2,2,0,1,1,0,4,26805.00,100.00,26705.00,1,False,
2021-12-20,SKIPPED,random_skip,2021-12-23,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-12-21,TRADED,ma_gap_exceeded,2021-12-23,2,1,1,1,1,17,4,-11520.00,100.00,-11620.00,1,False,Gap 221.23 > threshold 125; close=16789.8 sma=16568.57; Gap 221.23 > threshold 125; close=16789.8 sma=16568.57; Gap 216.64 > threshold 125; close=16790.6 sma=16573.96; Gap 246.74 > threshold 125; close=16827.2 sma=16580.46; Gap 220.97 > threshold 125; close=16809.8 sma=16588.83; Gap 259.21 > threshold 125; close=16859.0 sma=16599.79; Gap 262.74 > threshold 125; close=16872.7 sma=16609.96; Gap 267.02 > threshold 125; close=16889.2 sma=16622.18; Gap 248.06 > threshold 125; close=16881.8 sma=16633.74; Gap 221.61 > threshold 125; close=16867.4 sma=16645.79; Gap 230.40 > threshold 125; close=16889.2 sma=16658.80; Gap 238.70 > threshold 125; close=16911.8 sma=16673.10; Gap 238.27 > threshold 125; close=16926.6 sma=16688.33; Gap 200.06 > threshold 125; close=16904.4 sma=16704.34; Gap 210.66 > threshold 125; close=16932.4 sma=16721.74; Gap 185.16 > threshold 125; close=16927.1 sma=16741.94; Gap 128.24 > threshold 125; close=16887.9 sma=16759.66
2021-12-22,TRADED,,2021-12-23,2,1,1,2,0,0,4,-1275.00,100.00,-1375.00,2,True,
2021-12-23,SKIPPED,random_skip,2021-12-23,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-12-24,SKIPPED,random_skip,2021-12-30,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-12-27,TRADED,,2021-12-30,2,2,0,2,0,0,4,-14025.00,100.00,-14125.00,2,True,
2021-12-28,SKIPPED,random_skip,2021-12-30,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-12-29,TRADED,,2021-12-30,2,0,2,2,0,0,4,-345.00,100.00,-445.00,2,True,
2021-12-30,TRADED,,2021-12-30,2,1,1,2,0,0,4,-435.00,100.00,-535.00,2,True,
2021-12-31,SKIPPED,random_skip,2022-01-06,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-01-03,SKIPPED,random_skip,2022-01-06,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-01-04,TRADED,ma_gap_exceeded,2022-01-06,2,0,2,1,1,2,4,16035.00,100.00,15935.00,1,False,Gap 128.28 > threshold 125; close=17691.0 sma=17562.72; Gap 128.28 > threshold 125; close=17691.0 sma=17562.72
2022-01-05,TRADED,,2022-01-06,1,0,1,0,1,0,2,15750.00,50.00,15700.00,0,False,
