entry_date,status,skip_reason,expiry_date,spot_entry,atm,short_dist,wing_width,short_ce,long_ce,short_pe,long_pe,short_ce_entry,long_ce_entry,short_pe_entry,long_pe_entry,entry_credit,sl_trigger,lot_size,condors,units,exit_time,exit_reason,short_ce_exit,long_ce_exit,short_pe_exit,long_pe_exit,liq_cost_exit,gross_pnl,brokerage,net_pnl,cum_pnl,remarks
2022-08-04,TRADED,,2022-08-04,17464.60,17450,200,100,17650,17750,17250,17150,3.10,1.05,5.85,2.95,4.95,9.90,50,25,1250,11:26,sl,1.75,1.45,17.35,6.45,11.20,-7812.50,9000.00,-16812.50,-1309070.00,
2022-08-11,TRADED,,2022-08-11,17690.00,17700,200,100,17900,18000,17500,17400,2.50,1.05,7.00,3.90,4.55,9.10,50,24,1200,15:25,eod,0.05,0.05,0.05,0.05,0.00,5460.00,8640.00,-3180.00,-1312250.00,
2022-08-18,TRADED,,2022-08-18,17915.30,17900,200,100,18100,18200,17700,17600,2.70,1.00,5.15,2.60,4.25,8.50,50,24,1200,15:25,eod,0.05,0.05,0.10,0.05,0.05,5040.00,8640.00,-3600.00,-1315850.00,
2022-08-25,TRADED,,2022-08-25,17672.10,17650,200,100,17850,17950,17450,17350,3.15,1.10,4.10,2.45,3.70,7.40,50,24,1200,15:25,eod,0.05,0.05,0.10,0.05,0.05,4380.00,8640.00,-4260.00,-1320110.00,
2022-09-01,TRADED,,2022-09-01,17553.80,17550,200,100,17750,17850,17350,17250,9.60,2.70,15.65,7.15,15.40,30.80,50,24,1200,15:25,eod,0.05,0.05,0.05,0.05,0.00,18480.00,8640.00,9840.00,-1310270.00,
2022-09-08,TRADED,,2022-09-08,17733.80,17750,200,100,17950,18050,17550,17450,2.10,1.00,9.70,4.75,6.05,12.10,50,24,1200,15:25,eod,0.05,0.05,0.05,0.05,0.00,7260.00,8640.00,-1380.00,-1311650.00,
2022-09-15,TRADED,,2022-09-15,18083.80,18100,200,100,18300,18400,17900,17800,2.45,0.90,12.35,5.65,8.25,16.50,50,24,1200,09:58,sl,1.85,1.25,28.50,12.60,16.50,-9900.00,8640.00,-18540.00,-1330190.00,
2022-09-22,TRADED,,2022-09-22,17626.60,17650,200,100,17850,17950,17450,17350,10.90,3.70,23.70,10.60,20.30,40.60,50,24,1200,15:25,eod,0.05,0.05,0.05,0.05,0.00,24360.00,8640.00,15720.00,-1314470.00,
2022-09-29,TRADED,,2022-09-29,17005.90,17000,200,100,17200,17300,16800,16700,6.00,2.00,6.80,3.05,7.75,15.50,50,25,1250,12:00,sl,1.65,1.50,22.75,6.25,16.65,-11125.00,9000.00,-20125.00,-1334595.00,
2022-10-06,TRADED,,2022-10-06,17374.50,17350,200,100,17550,17650,17150,17050,5.95,1.25,6.60,3.20,8.10,16.20,50,25,1250,15:25,eod,0.05,0.05,0.05,0.05,0.00,10125.00,9000.00,1125.00,-1333470.00,
2022-10-13,TRADED,,2022-10-13,17086.00,17100,200,100,17300,17400,16900,16800,3.20,1.25,10.75,3.70,9.00,18.00,50,25,1250,15:25,eod,0.05,0.05,0.05,0.05,0.00,11250.00,9000.00,2250.00,-1331220.00,
2022-10-20,TRADED,,2022-10-20,17450.00,17450,200,100,17650,17750,17250,17150,1.80,1.10,4.60,2.05,3.25,6.50,50,25,1250,15:25,eod,0.05,0.05,0.05,0.05,0.00,4062.50,9000.00,-4937.50,-1336157.50,
2022-10-27,TRADED,,2022-10-27,17756.10,17750,200,100,17950,18050,17550,17450,2.50,1.05,2.55,1.50,2.50,5.00,50,24,1200,15:25,eod,0.05,0.10,0.05,0.05,-0.05,3060.00,8640.00,-5580.00,-1341737.50,
2022-11-03,TRADED,,2022-11-03,18021.80,18000,200,100,18200,18300,17800,17700,4.35,1.45,6.00,2.35,6.55,13.10,50,24,1200,15:25,eod,0.05,0.05,0.05,0.05,0.00,7860.00,8640.00,-780.00,-1342517.50,
2022-11-10,TRADED,,2022-11-10,18068.20,18050,200,100,18250,18350,17850,17750,3.30,1.50,1.50,1.05,2.25,4.50,50,24,1200,15:25,eod,0.05,0.05,0.05,0.05,0.00,2700.00,8640.00,-5940.00,-1348457.50,
2022-11-17,TRADED,,2022-11-17,18381.20,18400,200,100,18600,18700,18200,18100,1.10,0.80,2.40,1.35,1.35,2.70,50,23,1150,15:25,eod,0.05,0.05,0.05,0.05,0.00,1552.50,8280.00,-6727.50,-1355185.00,
2022-11-24,TRADED,,2022-11-24,18300.10,18300,200,100,18500,18600,18100,18000,1.10,0.90,1.40,1.00,0.60,1.20,50,24,1200,15:25,eod,0.05,0.05,0.15,0.10,0.05,660.00,8640.00,-7980.00,-1363165.00,
2022-12-01,TRADED,,2022-12-01,18866.90,18850,200,100,19050,19150,18650,18550,1.95,1.00,3.35,2.15,2.15,4.30,50,23,1150,15:25,eod,0.05,0.05,0.05,0.05,0.00,2472.50,8280.00,-5807.50,-1368972.50,
2022-12-08,TRADED,,2022-12-08,18552.40,18550,200,100,18750,18850,18350,18250,3.40,1.55,1.35,0.85,2.35,4.70,50,23,1150,15:25,eod,0.05,0.05,0.05,0.05,0.00,2702.50,8280.00,-5577.50,-1374550.00,
2022-12-15,TRADED,,2022-12-15,18631.60,18650,200,100,18850,18950,18450,18350,1.25,0.95,2.15,1.25,1.20,2.40,50,23,1150,09:34,sl,1.45,1.00,3.30,1.30,2.45,-1437.50,8280.00,-9717.50,-1384267.50,
2022-12-22,TRADED,,2022-12-22,18259.10,18250,200,100,18450,18550,18050,17950,7.25,2.75,6.45,2.90,8.05,16.10,50,24,1200,10:37,sl,3.90,2.85,23.40,8.20,16.25,-9840.00,8640.00,-18480.00,-1402747.50,
2022-12-29,TRADED,,2022-12-29,18028.80,18050,200,100,18250,18350,17850,17750,2.15,1.25,6.10,2.65,4.35,8.70,50,24,1200,15:25,eod,0.05,0.05,0.05,0.05,0.00,5220.00,8640.00,-3420.00,-1406167.50,
2023-01-05,TRADED,,2023-01-05,18062.80,18050,200,100,18250,18350,17850,17750,5.10,1.80,3.20,1.25,5.25,10.50,50,24,1200,13:26,sl,2.15,1.90,12.95,2.05,11.15,-7080.00,8640.00,-15720.00,-1421887.50,
2023-01-12,TRADED,,2023-01-12,17913.80,17900,200,100,18100,18200,17700,17600,8.50,2.95,4.70,2.05,8.20,16.40,50,24,1200,15:25,eod,0.10,0.05,0.05,0.05,0.05,9780.00,8640.00,1140.00,-1420747.50,
2023-01-19,TRADED,,2023-01-19,18118.20,18100,200,100,18300,18400,17900,17800,2.50,1.30,5.30,3.05,3.45,6.90,50,24,1200,15:25,eod,0.05,0.05,0.05,0.05,0.00,4140.00,8640.00,-4500.00,-1425247.50,
2023-01-25,TRADED,,2023-01-25,18059.50,18050,200,100,18250,18350,17850,17750,2.50,1.30,1.45,0.85,1.80,3.60,50,24,1200,09:56,sl,2.60,2.10,5.20,1.70,4.00,-2640.00,8640.00,-11280.00,-1436527.50,
2023-02-02,TRADED,,2023-02-02,17474.40,17450,200,100,17650,17750,17250,17150,22.05,9.80,18.15,10.15,20.25,40.50,50,25,1250,09:48,sl,66.25,26.70,6.00,3.85,41.70,-26812.50,9000.00,-35812.50,-1472340.00,
2023-02-09,TRADED,,2023-02-09,17843.60,17850,200,100,18050,18150,17650,17550,2.60,1.15,4.95,2.55,3.85,7.70,50,24,1200,15:25,eod,0.05,0.05,0.05,0.05,0.00,4620.00,8640.00,-4020.00,-1476360.00,
2023-02-16,TRADED,,2023-02-16,18096.60,18100,200,100,18300,18400,17900,17800,1.30,0.70,4.15,2.75,2.00,4.00,50,24,1200,15:25,eod,0.05,0.05,0.05,0.10,-0.05,2460.00,8640.00,-6180.00,-1482540.00,
2023-02-23,TRADED,,2023-02-23,17551.80,17550,200,100,17750,17850,17350,17250,4.90,2.45,4.50,2.10,4.85,9.70,50,24,1200,15:25,eod,0.05,0.05,0.05,0.05,0.00,5820.00,8640.00,-2820.00,-1485360.00,
